"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"575","Jersey","No","Yes","Yes"
"576","Greece","No","Yes","Yes"
"577","China","No","Yes","Yes"
"579","Poland","Yes","Yes","Yes"
"580","Mexico","Yes","Yes","Yes"
"582","Ukraine","No","Yes","Yes"
"583","Italy","No","Yes","Yes"
"584","Egypt","No","Yes","Yes"
"586","China","No","Yes","Yes"
"587","Brazil","No","Yes","Yes"
"589","China","No","Yes","Yes"
"591","France","No","Yes","Yes"
"592","Netherlands","No","Yes","Yes"
"593","China","No","Yes","Yes"
"594","France","Yes","Yes","Yes"
"595","Denmark","No","Yes","Yes"
"596","Canada","No","Yes","Yes"
"597","Bangladesh","No","Yes","Yes"
"598","Brazil","No","Yes","Yes"
"599","Jersey","No","Yes","Yes"
"600","France","Yes","Yes","No"
"602","Brazil","No","Yes","Yes"
"603","Hong Kong","No","Yes","Yes"
"605","Jamaica","No","Yes","Yes"
"606","Egypt","Yes","Yes","Yes"
"607","United States","No","Yes","Yes"
"609","Canada","No","Yes","Yes"
"610","Spain","No","Yes","Yes"
"611","United States","No","Yes","Yes"
"612","United Kingdom","No","Yes","Yes"
"613","United States","No","Yes","Yes"
"615","Egypt","Yes","Yes","No"
"616","Iran, Islamic Republic of","Yes","Yes","Yes"
"619","Brazil","Yes","Yes","Yes"
"620","Hong Kong","No","Yes","Yes"
"621","Spain","No","Yes","Yes"
"622","Belgium","No","Yes","Yes"
"623","Bosnia and Herzegovina","No","Yes","Yes"
"624","United States","No","Yes","Yes"
"626","Georgia","Yes","Yes","Yes"
"627","Canada","No","Yes","Yes"
"628","Netherlands","No","Yes","Yes"
"629","Mexico","No","Yes","Yes"
"630","United States","Yes","Yes","Yes"
"631","Argentina","No","Yes","Yes"
"633","United States","No","Yes","Yes"
"634","Mexico","No","Yes","Yes"
"635","China","No","Yes","Yes"
"636","United States","No","Yes","Yes"
"637","France","No","Yes","Yes"
"638","Spain","No","Yes","Yes"
"639","United Kingdom","Yes","No","No"
"640","United States","No","Yes","Yes"
"641","Germany","No","Yes","Yes"
"642","Philippines","No","Yes","Yes"
"644","Italy","No","Yes","Yes"
"645","United States","Yes","Yes","Yes"
"646","France","No","Yes","Yes"
"647","United States","No","Yes","Yes"
"648","Egypt","Yes","Yes","Yes"
"649","Finland","No","Yes","Yes"
"650","France","Yes","No","No"
"652","Pakistan","No","Yes","Yes"
"653","Slovenia","Yes","Yes","Yes"
"654","United States","No","Yes","Yes"
"656","France","No","Yes","Yes"
"657","Italy","No","Yes","Yes"
"658","United States","No","Yes","Yes"
"660","United States","No","Yes","Yes"
"662","Argentina","No","Yes","Yes"
"664","France","No","Yes","Yes"
"666","Argentina","Yes","Yes","Yes"
"667","Monaco","No","Yes","Yes"
"668","Georgia","No","Yes","Yes"
"669","India","No","Yes","Yes"
"670","United States","No","Yes","Yes"
"671","Jamaica","No","Yes","Yes"
"672","Bangladesh","No","Yes","Yes"
"673","France","No","Yes","Yes"
"674","China","No","Yes","No"
"675","Niger","No","Yes","Yes"
"676","Denmark","Yes","Yes","Yes"
"677","Mexico","No","Yes","Yes"
"678","Egypt","Yes","Yes","Yes"
"680","Canada","No","Yes","Yes"
"681","Egypt","No","Yes","Yes"
"682","Italy","No","Yes","Yes"
"683","Italy","No","Yes","Yes"
"684","United Kingdom","No","Yes","Yes"
"685","France","No","Yes","Yes"
"686","Italy","No","Yes","Yes"
"687","France","No","Yes","Yes"
"688","Sweden","No","Yes","Yes"
"689","United States","No","Yes","Yes"
"690","Georgia","No","Yes","Yes"
"691","United States","Yes","Yes","Yes"
"692","Turkey","No","Yes","No"
